email,role,facultyCode
a.nakato@umu.ac.ug,faculty_admin,FBAM
r.ssekandi@umu.ac.ug,lecturer,FBAM
p.nalweyiso@umu.ac.ug,lecturer,FBAM
h.mugerwa@umu.ac.ug,lecturer,FBAM
g.namukasa@umu.ac.ug,lecturer,FBAM
j.ssenyonga@umu.ac.ug,lecturer,FBAM
i.namutebi@umu.ac.ug,faculty_admin,FED
b.kiwanuka@umu.ac.ug,lecturer,FED
f.nansubuga@umu.ac.ug,lecturer,FED
p.ssemwogerere@umu.ac.ug,lecturer,FED
t.nalukwago@umu.ac.ug,lecturer,FED
v.muwonge@umu.ac.ug,lecturer,FED
c.nakalema@umu.ac.ug,faculty_admin,FHS
e.ssali@umu.ac.ug,lecturer,FHS
j.nantume@umu.ac.ug,lecturer,FHS
m.kasirye@umu.ac.ug,lecturer,FHS
s.nakyonyi@umu.ac.ug,lecturer,FHS
a.luyombya@umu.ac.ug,lecturer,FHS
r.nambooze@umu.ac.ug,faculty_admin,FASS
g.ssekitoleko@umu.ac.ug,lecturer,FASS
a.kayiwa@umu.ac.ug,lecturer,FASS
c.nsereko@umu.ac.ug,lecturer,FASS
d.nalubega@umu.ac.ug,lecturer,FASS
f.ssekimpi@umu.ac.ug,faculty_admin,FSC
i.nabukenya@umu.ac.ug,lecturer,FSC
l.nandawula@umu.ac.ug,lecturer,FSC
t.ssemanda@umu.ac.ug,lecturer,FSC
c.nabirye@umu.ac.ug,lecturer,FSC
m.lwanga@umu.ac.ug,faculty_admin,FAGR
d.ssemakula@umu.ac.ug,lecturer,FAGR
m.nakayima@umu.ac.ug,lecturer,FAGR
s.mugisha@umu.ac.ug,lecturer,FAGR
a.nalwoga@umu.ac.ug,lecturer,FAGR
