Student No,Registration No,First Name,Last Name,Gender,Program Code,Year of Study,Academic Year,Status
23001234,2025-B101-00001,John,Kato,M,BBA,Year 1,2025/2026,REGISTERED
23001235,2024-B102-00001,Sarah,Namukasa,F,BCOM,Year 2,2025/2026,REGISTERED
23001236,2023-B201-00001,Peter,Okello,M,BED-ARTS,Year 3,2025/2026,REGISTERED
23001237,2022-B301-00001,Grace,Nakato,F,BNS,Year 4,2025/2026,REGISTERED
23001238,2025-B501-00001,David,Mugisha,M,BSC-CS,Year 1,2025/2026,REGISTERED
23001239,2024-B601-00001,Mary,Nabirye,F,BSC-AGR,Year 2,2025/2026,REGISTERED
23001240,2023-B401-00001,Isaac,Lubega,M,SWSA,Year 3,2025/2026,REGISTERED
23001241,2024-B304-00001,Agnes,Nansubuga,F,BBLT,Year 2,2025/2026,REGISTERED
23001242,2025-B105-00001,Samuel,Wamala,M,BPLM,Year 1,2025/2026,REGISTERED
23001243,2023-B603-00001,Ruth,Ssemanda,F,BSC-FST,Year 3,2025/2026,REGISTERED
