name,email,facultyCode,programmeCode,regNumber,password
Sarah Birungi,sarah.birungi@stud.umu.ac.ug,FBAM,BBA,2022-B101-00001,Umu@2026
Ambrose Ssekajja,ambrose.ssekajja@stud.umu.ac.ug,FBAM,BBA,2024-B101-00002,Umu@2026
Rachel Akello,rachel.akello@stud.umu.ac.ug,FBAM,BBA,2025-B101-00003,Umu@2026
Isaac Nakamatte,isaac.nakamatte@stud.umu.ac.ug,FBAM,BBA,2022-B101-00004,Umu@2026
Faridah Odongo,faridah.odongo@stud.umu.ac.ug,FBAM,BBA,2024-B101-00005,Umu@2026
Medard Nsubuga,medard.nsubuga@stud.umu.ac.ug,FBAM,BBA,2025-B101-00006,Umu@2026
Cyprian Anyango,cyprian.anyango@stud.umu.ac.ug,FBAM,BBA,2024-B101-00007,Umu@2026
Allen Juma,allen.juma@stud.umu.ac.ug,FBAM,BBA,2025-B101-00008,Umu@2026
Stella Nalwoga,stella.nalwoga@stud.umu.ac.ug,FBAM,BBA,2024-B101-00009,Umu@2026
Resty Okello,resty.okello@stud.umu.ac.ug,FBAM,BBA,2023-B101-00010,Umu@2026
Abraham Ampaire,abraham.ampaire@stud.umu.ac.ug,FBAM,BBA,2023-B101-00011,Umu@2026
Patricia Aguti,patricia.aguti@stud.umu.ac.ug,FBAM,BBA,2022-B101-00012,Umu@2026
Vincent Nabisubi,vincent.nabisubi@stud.umu.ac.ug,FBAM,BBA,2024-B101-00013,Umu@2026
Joy Okwir,joy.okwir@stud.umu.ac.ug,FBAM,BBA,2025-B101-00014,Umu@2026
Deogratius Wandera,deogratius.wandera@stud.umu.ac.ug,FBAM,BBA,2024-B101-00015,Umu@2026
Clare Katongole,clare.katongole@stud.umu.ac.ug,FBAM,BBA,2022-B101-00016,Umu@2026
Timothy Kasule,timothy.kasule@stud.umu.ac.ug,FBAM,BBA,2024-B101-00017,Umu@2026
Godfrey Namirimu,godfrey.namirimu@stud.umu.ac.ug,FBAM,BBA,2025-B101-00018,Umu@2026
Umutoni Mugisha,umutoni.mugisha@stud.umu.ac.ug,FBAM,BBA,2025-B101-00019,Umu@2026
Faridah Uwera,faridah.uwera@stud.umu.ac.ug,FBAM,BBA,2023-B101-00020,Umu@2026
Diana Ndyanabo,diana.ndyanabo@stud.umu.ac.ug,FBAM,BBA,2023-B101-00021,Umu@2026
Shanitah Lwanga,shanitah.lwanga@stud.umu.ac.ug,FBAM,BBA,2023-B101-00022,Umu@2026
Livingstone Namutebi,livingstone.namutebi@stud.umu.ac.ug,FBAM,BBA,2023-B101-00023,Umu@2026
Agnes Okello,agnes.okello@stud.umu.ac.ug,FBAM,BBA,2022-B101-00024,Umu@2026
Nathan Kintu,nathan.kintu@stud.umu.ac.ug,FBAM,BBA,2024-B101-00025,Umu@2026
Olivia Kakooza,olivia.kakooza@stud.umu.ac.ug,FBAM,BBA,2025-B101-00026,Umu@2026
Allen Okeyo,allen.okeyo@stud.umu.ac.ug,FBAM,BBA,2023-B101-00027,Umu@2026
Winnie Musoke,winnie.musoke@stud.umu.ac.ug,FBAM,BBA,2025-B101-00028,Umu@2026
Grace Kaggwa,grace.kaggwa@stud.umu.ac.ug,FBAM,BBA,2025-B101-00029,Umu@2026
Gorreti Nakato,gorreti.nakato@stud.umu.ac.ug,FBAM,BBA,2025-B101-00030,Umu@2026
John Bwette,john.bwette@stud.umu.ac.ug,FBAM,BBA,2024-B101-00031,Umu@2026
Annet Kasirye,annet.kasirye@stud.umu.ac.ug,FBAM,BBA,2023-B101-00032,Umu@2026
George Byaruhanga,george.byaruhanga@stud.umu.ac.ug,FBAM,BBA,2025-B101-00033,Umu@2026
Michael Ssekajja,michael.ssekajja@stud.umu.ac.ug,FBAM,BBA,2024-B101-00034,Umu@2026
Elly Kigozi,elly.kigozi@stud.umu.ac.ug,FBAM,BBA,2023-B101-00035,Umu@2026
Brian Nyambura,brian.nyambura@stud.umu.ac.ug,FBAM,BBA,2023-B101-00036,Umu@2026
